id,value
player_hp,180
player_speed,265
player_radius,19
shield_max,100
shield_regen,22
shield_drain,8
block_cost,13
block_reduction,0.68
block_move,0.62
block_dot,0.1
parry_window,0.28
counter_window,1.6
dash_speed,830
dash_duration,0.16
dash_cooldown,0.7
dash_max,4
dash_regen,1.4
invulnerability,0.32
pickup_radius,68
enemy_cap,28
adds_cap,8
add_count,3
floor_hp_scale,0.18
floor_damage_scale,0.12
floor_scale_cap,3
boss_hp,520
boss_radius,43
enemy_radius,18
aggro_range,440
ai_interval,0.2
far_ai_interval,0.5
far_ai_distance,700
enemy_separation,40
enemy_separation_force,90
corpse_time,0.6
fx_lifetime,0.35
fx_pool_size,128
projectile_pool_size,48
projectile_speed,340
projectile_lifetime,3
projectile_radius,8
enemy_attack_range,59
boss_attack_range,160
boss_windup,1.1
enemy_windup,0.65
enemy_attack_cooldown,1.6
boss_attack_cooldown,2.3
boss_damage,29
enemy_damage,12
enemy_hp,64
enemy_speed,118
archer_hp,48
archer_speed,95
archer_range,360
archer_damage,10
horn_hp,75
horn_cooldown,12
horn_windup,1.5
boss_phase_threshold,0.5
boss_phase_speed,1.25
floor_heal,0.35
loot_per_floor,5
portal_radius,90
world_width,1800
world_height,2200
player_start_x,900
player_start_y,1950
portal_x,900
portal_y,190
afterglow_max_stacks,3
boss_stun_factor,0.5
archer_retreat_ratio,0.6
hit_push_distance,5
walk_min_x,80
walk_min_y,130
walk_max_x,1720
walk_max_y,2080
message_duration,3
group_spread,70
add_spread,80
horn_patrol_rate,0.7
horn_patrol_radius,90
horn_patrol_speed_factor,0.5

camera_zoom,1.2
camera_smoothing,7
encounter_squad_size,2

shelter_reveal_distance,100
branch_supply_heal,0.2
sight_memory,2.5
archer_post_leash,300
archer_post_range,850
